127.0.0.1 - - [15/Jan/2020:22:45:40 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:53 +0900] "GET /controller/ HTTP/1.1" 200 49326
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:54 +0900] "GET /controller/resources/css/jquery-ui.min.css HTTP/1.1" 200 29279
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:54 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 121265
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:54 +0900] "GET /controller/resources/css/animate.css HTTP/1.1" 200 88597
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:54 +0900] "GET /controller/resources/css/css-plugin-collections.css HTTP/1.1" 200 256385
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:54 +0900] "GET /controller/resources/css/menuzord-skins/menuzord-rounded-boxed.css HTTP/1.1" 200 2455
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:54 +0900] "GET /controller/resources/js/jquery-2.2.4.min.js HTTP/1.1" 200 85582
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:54 +0900] "GET /controller/resources/css/responsive.css HTTP/1.1" 200 1192
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:54 +0900] "GET /controller/resources/css/colors/theme-skin-red.css HTTP/1.1" 200 28032
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:54 +0900] "GET /controller/resources/css/custom-bootstrap-margin-padding.css HTTP/1.1" 200 64599
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:54 +0900] "GET /controller/resources/css/preloader.css HTTP/1.1" 200 63635
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:54 +0900] "GET /controller/resources/css/style-main.css HTTP/1.1" 200 145137
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:54 +0900] "GET /controller/resources/js/bootstrap.min.js HTTP/1.1" 200 36874
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:54 +0900] "GET /controller/resources/js/chart.js HTTP/1.1" 200 121842
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:55 +0900] "GET /controller/resources/js/jquery-plugin-collection.js HTTP/1.1" 200 710320
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:55 +0900] "GET /controller/resources/js/jquery-ui.min.js HTTP/1.1" 200 240434
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:55 +0900] "GET /controller/resources/js/revolution-slider/css/settings.css HTTP/1.1" 200 36724
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:55 +0900] "GET /controller/resources/js/revolution-slider/css/layers.css HTTP/1.1" 200 120120
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:55 +0900] "GET /controller/resources/js/revolution-slider/js/jquery.themepunch.revolution.min.js HTTP/1.1" 200 54917
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:55 +0900] "GET /controller/resources/js/revolution-slider/js/jquery.themepunch.tools.min.js HTTP/1.1" 200 104767
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:55 +0900] "GET /controller/resources/js/revolution-slider/css/navigation.css HTTP/1.1" 200 62209
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:55 +0900] "GET /controller/resources/js/custom.js HTTP/1.1" 200 87771
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:55 +0900] "GET /controller/resources/css/font-awesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:55 +0900] "GET /controller/resources/css/pe-icon-7-stroke.css HTTP/1.1" 200 10374
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:55 +0900] "GET /controller/resources/css/font-awesome-animation.min.css HTTP/1.1" 200 18434
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:55 +0900] "GET /controller/resources/css/flaticon-set-charity.css HTTP/1.1" 200 3026
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:55 +0900] "GET /controller/resources/images/main/slider-third.jpg HTTP/1.1" 200 184985
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:55 +0900] "GET /controller/resources/css/utility-classes.css HTTP/1.1" 200 18917
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:56 +0900] "GET /controller/resources/images/main/slider-second.jpg HTTP/1.1" 200 419429
0:0:0:0:0:0:0:1 - - [15/Jan/2020:22:45:56 +0900] "GET /controller/resources/images/preloaders/loading.png HTTP/1.1" 200 1935
