127.0.0.1 - - [11/Jan/2020:21:16:13 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:16:37 +0900] "GET /controller/ HTTP/1.1" 200 45619
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:16:37 +0900] "GET /controller/resources/css/jquery-ui.min.css HTTP/1.1" 200 29279
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:16:37 +0900] "GET /controller/resources/css/animate.css HTTP/1.1" 200 88597
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:16:37 +0900] "GET /controller/resources/js/jquery-2.2.4.min.js HTTP/1.1" 200 85582
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:16:37 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 121265
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:16:37 +0900] "GET /controller/resources/css/menuzord-skins/menuzord-rounded-boxed.css HTTP/1.1" 200 2455
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:16:37 +0900] "GET /controller/resources/css/css-plugin-collections.css HTTP/1.1" 200 256385
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:16:37 +0900] "GET /controller/resources/css/colors/theme-skin-orange.css HTTP/1.1" 200 28058
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:16:37 +0900] "GET /controller/resources/css/responsive.css HTTP/1.1" 200 1192
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:16:37 +0900] "GET /controller/resources/css/preloader.css HTTP/1.1" 200 63635
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:16:38 +0900] "GET /controller/resources/css/custom-bootstrap-margin-padding.css HTTP/1.1" 200 64599
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:16:38 +0900] "GET /controller/resources/css/style-main.css HTTP/1.1" 200 145137
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:16:38 +0900] "GET /controller/resources/js/jquery-ui.min.js HTTP/1.1" 200 240434
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:16:38 +0900] "GET /controller/resources/js/revolution-slider/css/settings.css HTTP/1.1" 200 36724
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:16:38 +0900] "GET /controller/resources/js/revolution-slider/css/navigation.css HTTP/1.1" 200 62209
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:16:38 +0900] "GET /controller/resources/js/chart.js HTTP/1.1" 200 121842
0:0:0:0:0:0:0:1 - - [11/Jan/2020:21:16:38 +0900] "GET /controller/resources/js/bootstrap.min.js HTTP/1.1" 200 36874
